INFO 2024-07-25 15:14:11,892 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-25 15:14:11,893 autoreload Waiting for apps ready_event.
DEBUG 2024-07-25 15:14:12,160 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-25 15:14:12,178 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\ckeditor\templates with glob **/*.
DEBUG 2024-07-25 15:14:12,179 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\templates with glob **/*.
DEBUG 2024-07-25 15:14:12,179 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\maintenance_mode\templates with glob **/*.
DEBUG 2024-07-25 15:14:12,180 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\user\templates with glob **/*.
DEBUG 2024-07-25 15:14:12,180 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\ckeditor_uploader\templates with glob **/*.
DEBUG 2024-07-25 15:14:12,181 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,181 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,181 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\ckeditor\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,181 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\ckeditor_uploader\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,182 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\maintenance_mode\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,182 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\postapp\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,182 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\dash\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,183 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\portfolio\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,183 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\user\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,183 autoreload Watching dir C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\taggit\locale with glob **/*.mo.
DEBUG 2024-07-25 15:14:12,261 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-07-25 15:14:12,264 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-07-25 15:14:12,406 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\corsheaders\apps.py first seen with mtime 1721725598.6267116
DEBUG 2024-07-25 15:14:12,407 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1721725585.483459
DEBUG 2024-07-25 15:14:12,408 autoreload File C:\Python312\Lib\secrets.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,408 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1721725585.4438484
DEBUG 2024-07-25 15:14:12,408 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1721725585.495486
DEBUG 2024-07-25 15:14:12,408 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\query.py first seen with mtime 1721725585.69387
DEBUG 2024-07-25 15:14:12,408 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1721725585.8913355
DEBUG 2024-07-25 15:14:12,410 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1721725585.4794612
DEBUG 2024-07-25 15:14:12,410 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1721725585.6787796
DEBUG 2024-07-25 15:14:12,410 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\ckeditor\__init__.py first seen with mtime 1721725602.2493985
DEBUG 2024-07-25 15:14:12,411 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1721725595.233903
DEBUG 2024-07-25 15:14:12,411 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\apps\__init__.py first seen with mtime 1721725580.9132335
DEBUG 2024-07-25 15:14:12,411 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1721725585.883813
DEBUG 2024-07-25 15:14:12,411 autoreload File C:\Users\USER\Desktop\Team-6-project\portfolio\urls.py first seen with mtime 1721729570.6450567
DEBUG 2024-07-25 15:14:12,412 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1721725585.5857275
DEBUG 2024-07-25 15:14:12,412 autoreload File C:\Python312\Lib\html\parser.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,412 autoreload File C:\Python312\Lib\contextlib.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,413 autoreload File C:\Python312\Lib\email\utils.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,413 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1721725585.6627634
DEBUG 2024-07-25 15:14:12,414 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\template\loader.py first seen with mtime 1721725585.8631518
DEBUG 2024-07-25 15:14:12,414 autoreload File C:\Users\USER\Desktop\Team-6-project\postapp\__init__.py first seen with mtime 1721725788.35078
DEBUG 2024-07-25 15:14:12,414 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1721725585.408877
DEBUG 2024-07-25 15:14:12,415 autoreload File C:\Python312\Lib\token.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,415 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\postgres\fields\array.py first seen with mtime 1721725584.2730167
DEBUG 2024-07-25 15:14:12,415 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\corsheaders\checks.py first seen with mtime 1721725598.6292372
DEBUG 2024-07-25 15:14:12,415 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1721725585.7304733
DEBUG 2024-07-25 15:14:12,416 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1721725585.7209275
DEBUG 2024-07-25 15:14:12,416 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\utils\functional.py first seen with mtime 1721725585.944097
DEBUG 2024-07-25 15:14:12,416 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1721725585.7094028
DEBUG 2024-07-25 15:14:12,416 autoreload File C:\Python312\Lib\html\__init__.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,416 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\files\images.py first seen with mtime 1721725585.4754586
DEBUG 2024-07-25 15:14:12,418 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\utils\__init__.py first seen with mtime 1721725585.9164474
DEBUG 2024-07-25 15:14:12,418 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1721725584.2660184
DEBUG 2024-07-25 15:14:12,419 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1721725584.8042483
DEBUG 2024-07-25 15:14:12,419 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1721725585.716398
DEBUG 2024-07-25 15:14:12,420 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\transforms\__init__.py first seen with mtime 1721725574.2495909
DEBUG 2024-07-25 15:14:12,420 autoreload File C:\Python312\DLLs\_hashlib.pyd first seen with mtime 1707236752.0
DEBUG 2024-07-25 15:14:12,421 autoreload File C:\Python312\Lib\dis.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,421 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\validators.py first seen with mtime 1721725585.4398417
DEBUG 2024-07-25 15:14:12,422 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1721725585.8792477
DEBUG 2024-07-25 15:14:12,422 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\templatetags\static.py first seen with mtime 1721725585.8923588
DEBUG 2024-07-25 15:14:12,422 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\__init__.py first seen with mtime 1721725574.1218824
DEBUG 2024-07-25 15:14:12,423 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\sqlparse\sql.py first seen with mtime 1721725564.0950215
DEBUG 2024-07-25 15:14:12,423 autoreload File C:\Users\USER\Desktop\Team-6-project\portfolio\views.py first seen with mtime 1721808427.330576
DEBUG 2024-07-25 15:14:12,423 autoreload File C:\Python312\Lib\unittest\result.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,424 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\core.py first seen with mtime 1721725574.1238906
DEBUG 2024-07-25 15:14:12,424 autoreload File C:\Python312\Lib\_compat_pickle.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,424 autoreload File C:\Python312\Lib\calendar.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,424 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\__init__.py first seen with mtime 1721725585.569728
DEBUG 2024-07-25 15:14:12,425 autoreload File C:\Python312\Lib\email\mime\message.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,425 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1721725581.5534456
DEBUG 2024-07-25 15:14:12,425 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1721725585.6998699
DEBUG 2024-07-25 15:14:12,425 autoreload File C:\Python312\DLLs\_ctypes.pyd first seen with mtime 1707236754.0
DEBUG 2024-07-25 15:14:12,425 autoreload File C:\Python312\DLLs\_uuid.pyd first seen with mtime 1707236750.0
DEBUG 2024-07-25 15:14:12,426 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\corsheaders\defaults.py first seen with mtime 1721725598.631248
DEBUG 2024-07-25 15:14:12,426 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1721725585.6547523
DEBUG 2024-07-25 15:14:12,426 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1721725585.4604683
DEBUG 2024-07-25 15:14:12,426 autoreload File C:\Python312\Lib\sqlite3\__init__.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,426 autoreload File C:\Python312\Lib\wsgiref\simple_server.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,427 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\utils\safestring.py first seen with mtime 1721725585.9731467
DEBUG 2024-07-25 15:14:12,427 autoreload File C:\Python312\Lib\enum.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,427 autoreload File C:\Python312\Lib\shutil.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,427 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\parsers\rst\directives\__init__.py first seen with mtime 1721725574.1705718
DEBUG 2024-07-25 15:14:12,427 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1721725572.1871436
DEBUG 2024-07-25 15:14:12,428 autoreload File C:\Python312\Lib\graphlib.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,428 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\io.py first seen with mtime 1721725574.1278946
DEBUG 2024-07-25 15:14:12,428 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\rest_framework\decorators.py first seen with mtime 1721725594.9780946
DEBUG 2024-07-25 15:14:12,429 autoreload File C:\Python312\DLLs\_socket.pyd first seen with mtime 1707236752.0
DEBUG 2024-07-25 15:14:12,429 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\test\__init__.py first seen with mtime 1721725585.8953578
DEBUG 2024-07-25 15:14:12,429 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1721725585.655762
DEBUG 2024-07-25 15:14:12,429 autoreload File C:\Python312\Lib\urllib\parse.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,434 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\files\locks.py first seen with mtime 1721725585.4764578
DEBUG 2024-07-25 15:14:12,436 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1721725586.029278
DEBUG 2024-07-25 15:14:12,436 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\corsheaders\signals.py first seen with mtime 1721725598.6342342
DEBUG 2024-07-25 15:14:12,437 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1721725582.6675303
DEBUG 2024-07-25 15:14:12,438 autoreload File C:\Python312\Lib\gzip.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,439 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\http\request.py first seen with mtime 1721725585.8305442
DEBUG 2024-07-25 15:14:12,439 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1721725585.957121
DEBUG 2024-07-25 15:14:12,439 autoreload File C:\Users\USER\Desktop\Team-6-project\postapp\urls.py first seen with mtime 1721894081.0009823
DEBUG 2024-07-25 15:14:12,440 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\shortcuts.py first seen with mtime 1721725580.9132335
DEBUG 2024-07-25 15:14:12,440 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1721725585.9651453
DEBUG 2024-07-25 15:14:12,440 autoreload File C:\Python312\Lib\gettext.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,440 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1721725582.6735425
DEBUG 2024-07-25 15:14:12,440 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1721725585.4129207
DEBUG 2024-07-25 15:14:12,442 autoreload File C:\Python312\Lib\html\entities.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,442 autoreload File C:\Python312\Lib\opcode.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,442 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1721725585.8898108
DEBUG 2024-07-25 15:14:12,443 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1721725585.6988683
DEBUG 2024-07-25 15:14:12,443 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1721725585.581717
DEBUG 2024-07-25 15:14:12,443 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\readers\__init__.py first seen with mtime 1721725574.2450593
DEBUG 2024-07-25 15:14:12,443 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1721725585.4734647
DEBUG 2024-07-25 15:14:12,443 autoreload File C:\Python312\Lib\asyncio\base_events.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,443 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1721725585.4139323
DEBUG 2024-07-25 15:14:12,444 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1721725585.652518
DEBUG 2024-07-25 15:14:12,444 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\psycopg2\_json.py first seen with mtime 1721725571.5394914
DEBUG 2024-07-25 15:14:12,444 autoreload File C:\Python312\Lib\multiprocessing\context.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,445 autoreload File C:\Python312\Lib\re\_constants.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,445 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\postgres\fields\ranges.py first seen with mtime 1721725584.2780194
DEBUG 2024-07-25 15:14:12,445 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\postgres\forms\__init__.py first seen with mtime 1721725584.2810237
DEBUG 2024-07-25 15:14:12,445 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1721725585.557568
DEBUG 2024-07-25 15:14:12,446 autoreload File C:\Python312\Lib\xml\__init__.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,446 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1721725595.1099896
DEBUG 2024-07-25 15:14:12,446 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1721725584.802732
DEBUG 2024-07-25 15:14:12,447 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\options.py first seen with mtime 1721725585.6928697
DEBUG 2024-07-25 15:14:12,447 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\parsers\rst\languages\__init__.py first seen with mtime 1721725574.2149913
DEBUG 2024-07-25 15:14:12,447 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\corsheaders\__init__.py first seen with mtime 1721725598.6267116
DEBUG 2024-07-25 15:14:12,447 autoreload File C:\Python312\Lib\http\server.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,448 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\docutils\transforms\universal.py first seen with mtime 1721725574.2565892
DEBUG 2024-07-25 15:14:12,448 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1721725585.9194326
DEBUG 2024-07-25 15:14:12,448 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1721725581.5354495
DEBUG 2024-07-25 15:14:12,448 autoreload File C:\Users\USER\Desktop\Team-6-project\postapp\forms.py first seen with mtime 1721801186.7015932
DEBUG 2024-07-25 15:14:12,448 autoreload File C:\Python312\Lib\asyncio\futures.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,449 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1721725585.4198325
DEBUG 2024-07-25 15:14:12,449 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1721725572.1365628
DEBUG 2024-07-25 15:14:12,449 autoreload File C:\Python312\Lib\importlib\_abc.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,449 autoreload File C:\Users\USER\Desktop\Team-6-project\postapp\views.py first seen with mtime 1721899516.2471747
DEBUG 2024-07-25 15:14:12,449 autoreload File C:\Python312\Lib\socketserver.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,450 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1721725595.2349029
DEBUG 2024-07-25 15:14:12,450 autoreload File C:\Python312\Lib\logging\handlers.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,450 autoreload File C:\Python312\Lib\random.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,451 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1721725585.4448411
DEBUG 2024-07-25 15:14:12,451 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\checks\files.py first seen with mtime 1721725585.459455
DEBUG 2024-07-25 15:14:12,451 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\views\csrf.py first seen with mtime 1721725586.0001652
DEBUG 2024-07-25 15:14:12,452 autoreload File C:\Python312\Lib\signal.py first seen with mtime 1707236718.0
